date,delay,distance,origin,destination
01010001,14,405,MCI,MDW
01010530,-11,370,LAX,PHX
01010540,5,389,ONT,SMF
01010600,-5,337,OAK,LAX
01010600,3,303,MSY,HOU
01010605,5,236,LAS,LAX
01010610,-4,405,MDW,MCI
01010615,-2,188,RNO,SJC
01010615,0,197,FLL,TPA
01010615,0,399,SEA,BOI
01010615,5,562,ELP,DAL
01010620,-5,358,SMF,BUR
01010620,0,491,BNA,MCI
01010625,-6,361,ONT,OAK
01010625,0,313,MCI,OKC
01010625,1,271,MDW,SDF
01010625,5,689,SLC,SEA
01010630,-1,487,TPA,MSY
01010630,-10,399,BOI,SEA
01010630,-15,621,SJC,PHX
01010630,-2,361,OAK,ONT
01010630,-3,220,ISP,BWI
01010630,-3,397,SMF,LAS
01010630,-8,251,MDW,STL
01010630,-8,417,SJC,SAN
01010630,1,682,BWI,BHM
01010630,10,370,PHX,LAX
01010630,15,177,BHM,BNA
01010630,2,562,DAL,ELP
01010635,0,453,HOU,TUL
01010635,1,601,RNO,PHX
01010635,2,670,BNA,HOU
01010635,9,677,ABQ,LAX
01010640,-21,777,BDL,MDW
01010640,-8,197,ONT,LAS
01010640,3,833,OKC,PHX
01010640,5,495,SDF,BWI
01010645,-14,423,MDW,OMA
01010645,-14,605,SEA,SMF
01010645,-19,838,MHT,MDW
01010645,-5,223,LAS,BUR
01010645,-5,296,SJC,BUR
01010645,5,405,MCI,MDW
01010645,9,460,TPA,BHM
01010647,17,293,LBB,DAL
01010650,20,570,BHM,HOU
01010650,7,588,BWI,BNA
01010653,16,590,SLC,LAX
01010655,-19,1797,LAX,BNA
01010655,-28,1864,BWI,SLC
01010700,-10,1481,PDX,MCI
01010700,-10,361,OAK,ONT
01010700,-28,1235,LAS,HOU
01010700,-3,256,LAS,PHX
01010700,-3,588,SLC,OAK
01010700,-4,423,OMA,MDW
01010700,-4,612,TPA,BNA
01010700,-5,1090,AUS,LAS
01010700,-5,296,BUR,SJC
01010700,-5,369,PHX,BUR
01010700,-5,407,OAK,LAS
01010700,-6,325,OAK,BUR
01010700,-7,236,LAS,LAX
01010700,0,223,BUR,LAS
01010700,0,303,MSY,HOU
01010700,1,358,BUR,SMF
01010700,12,550,MCO,MSY
01010700,17,284,MDW,CMH
01010700,4,307,CLE,MDW
01010704,-2,457,DTW,BNA
01010705,-1,471,MSY,BNA
01010705,-10,443,RDU,BNA
01010705,-15,677,LAX,ABQ
01010705,-18,1246,HOU,BWI
01010705,-5,188,SJC,RNO
01010705,-9,386,SJC,LAS
01010705,0,588,OAK,SLC
01010705,13,365,JAX,BHM
01010705,4,1072,MCO,MCI
01010705,7,967,MCI,BWI
01010706,-5,303,HOU,MSY
01010708,-14,765,ISP,MDW
01010710,-15,1959,OAK,BNA
01010710,-26,2277,PVD,PHX
01010710,-31,1599,SAN,MSY
01010710,-8,251,STL,MDW
01010710,0,1506,SDF,PHX
01010710,2,842,TPA,BWI
01010715,-12,515,IND,BWI
01010715,-13,1076,TUL,LAS
01010715,-2,447,SFO,SAN
01010715,-25,2106,BWI,LAS
01010715,-3,405,MCI,MDW
01010715,-3,546,GEG,SLC
01010715,-7,386,LAS,SJC
01010715,24,938,MHT,BNA
01010720,-13,1489,OAK,MCI
01010720,-20,632,RDU,MDW
01010720,-5,446,OAK,SAN
01010720,-8,762,PDX,LAS
01010720,13,479,SMF,PDX
01010725,-12,852,BDL,BNA
01010725,-8,935,PHX,TUL
01010725,4,294,MAF,AUS
01010730,-2,192,SAT,HOU
01010730,-3,1591,IND,LAS
01010730,-3,284,CMH,MDW
01010730,-7,288,ALB,BWI
01010730,0,308,SJC,LAX
01010730,25,928,TPA,AUS
01010730,4,410,BHM,STL
01010730,6,673,FLL,MSY
01010730,8,448,CLE,BNA
01010733,-17,967,BWI,MCI
01010733,-3,281,BUF,BWI
01010735,-10,229,IND,STL
01010735,-13,251,MDW,STL
01010735,-25,440,DTW,STL
01010735,-3,181,OKC,DAL
01010735,-5,1497,TPA,ABQ
01010735,-5,304,SAN,PHX
01010735,23,377,MHT,BWI
01010735,6,1011,BUF,MCO
01010735,8,345,RNO,LAS
01010738,5,370,LAX,PHX
01010740,-10,303,HOU,MSY
01010740,-11,718,MCI,ABQ
01010740,-15,325,BUR,OAK
01010740,-15,793,FLL,BNA
01010740,-17,1448,PHX,BNA
01010740,-2,294,AUS,MAF
01010740,-2,347,ELP,PHX
01010740,-25,1521,MDW,LAS
01010740,-6,587,TPA,RDU
01010740,-7,229,MDW,DTW
01010740,-7,351,TUL,STL
01010740,0,248,SAT,DAL
01010744,10,308,LAX,SJC
01010745,-2,223,BUR,LAS
01010745,-6,904,RDU,MCI
01010745,0,283,BDL,BWI
01010745,2,507,PHX,SLC
01010745,5,487,TPA,MSY
01010745,9,395,BNA,MDW
01010750,-12,646,PHX,OAK
01010750,-2,256,PHX,LAS
01010750,-5,367,TUS,SAN
01010750,-8,351,STL,TUL
01010750,-8,369,BUR,PHX
01010750,4,1455,BHM,PHX
01010753,-5,1363,LAX,MCI
01010755,-10,419,OKC,HOU
01010755,19,284,MDW,CMH
01010755,4,587,MCO,JAN
01010755,6,321,BHM,MSY
01010757,-2,1814,LAX,IND
01010757,-3,689,SEA,SLC
01010800,-10,1162,RDU,AUS
01010800,-10,337,LAX,OAK
01010800,-10,671,SEA,OAK
01010800,-10,989,MDW,MCO
01010800,-11,237,STL,MCI
01010800,-13,843,PHX,SAT
01010800,-13,998,MSY,BWI
01010800,-19,787,MCO,BWI
01010800,-3,1073,ALB,MCO
01010800,-3,197,LAS,ONT
01010800,-3,407,OAK,LAS
01010800,-4,239,HOU,DAL
01010800,-4,337,OAK,LAX
01010800,-5,325,ONT,PHX
01010800,-5,462,STL,OKC
01010800,-6,1037,PHX,OMA
01010800,-6,972,ISP,MCO
01010800,0,342,SJC,SNA
01010800,0,358,SMF,BUR
01010800,0,612,BNA,TPA
01010800,12,358,BUR,SMF
01010800,13,389,ONT,SMF
01010800,9,1797,BNA,LAX
01010800,9,437,MSY,DAL
01010805,-1,304,PHX,SAN
01010805,-1,345,LAS,RNO
01010805,-13,989,MCO,MDW
01010805,-14,727,TPA,SDF
01010805,-2,325,BUR,OAK
01010805,-4,314,BWI,CLE
01010805,-7,405,MDW,MCI
01010805,-8,822,SAT,BNA
01010805,25,1448,BNA,PHX
01010805,7,457,BNA,DTW
01010807,10,189,DAL,AUS
01010810,-12,447,SAN,SFO
01010810,-7,197,ONT,LAS
01010810,0,714,LAX,ELP
01010810,5,484,JAX,BNA
01010815,-10,223,LAS,BUR
01010815,-17,1999,PHX,BWI
01010815,-24,1751,SAN,BNA
01010815,-3,677,LAX,ABQ
